Year,BDANumber,ReferenceNumber,Downstream,Comments,BDAPresent,LineLength,geometry
2023,26.0,,1.0,,1,3.8223605317284512,"LINESTRING (691277.3365586969 4728057.705920646, 691274.121629248 4728059.773447834)"
2023,25.0,,1.0,,1,5.167193297571775,"LINESTRING (691261.0215233086 4728068.887404965, 691265.9214132619 4728070.527821077)"
2023,25.0,,0.0,,1,3.9074148094747025,"LINESTRING (691263.5006967831 4728059.188318461, 691267.0304652617 4728060.864213739)"
2023,24.0,,1.0,,1,4.8755567935899125,"LINESTRING (691253.6090261133 4728070.267884339, 691249.1545445865 4728072.249966168)"
2023,24.0,,0.0,,1,5.751118990409982,"LINESTRING (691257.8619317582 4728074.684987338, 691259.3595764834 4728080.237683073)"
2023,23.0,,0.0,,1,4.009653185491425,"LINESTRING (691250.9428365371 4728068.245286623, 691248.304638962 4728071.264762111)"
2023,23.0,,1.0,,1,3.346739497764738,"LINESTRING (691240.1687937446 4728066.13790948, 691240.7934844305 4728069.425830832)"
2023,22.0,,0.0,,1,3.3511615002555444,"LINESTRING (691223.9876917312 4728093.26271693, 691227.23556866 4728094.088294823)"
2023,22.0,,1.0,,1,3.4622403307921044,"LINESTRING (691219.1738849934 4728101.322659939, 691222.045597336 4728103.256665194)"
2023,21.0,,1.0,,1,2.9274620565528893,"LINESTRING (691209.0119391424 4728120.038851847, 691211.9131002383 4728119.647318467)"
2023,21.0,,0.0,,1,3.004122029495645,"LINESTRING (691212.213042296 4728109.703234274, 691214.8029616174 4728111.2254258115)"
2023,20.0,,0.0,,1,2.764802875710989,"LINESTRING (691211.8078436289 4728123.542355305, 691213.7546560199 4728121.579180209)"
2023,20.0,,1.0,,1,4.164714780720046,"LINESTRING (691219.3712091388 4728128.292949479, 691223.1820315291 4728126.6129251)"
2023,19.0,,1.0,,1,3.931862016054487,"LINESTRING (691206.8894220572 4728136.388516759, 691209.7374894099 4728139.099245677)"
2023,19.0,,0.0,,1,3.3130535145083364,"LINESTRING (691216.4739704282 4728133.078332806, 691217.7908120919 4728136.118439979)"
2023,18.0,,0.0,,1,2.5548619460405226,"LINESTRING (691211.3911082534 4728158.3717108155, 691212.1365665233 4728155.928022715)"
2023,18.0,,1.0,,1,3.33234308515402,"LINESTRING (691217.5796699065 4728163.703124346, 691220.480216784 4728162.062594478)"
2023,17.0,,1.0,,1,3.206429515247514,"LINESTRING (691197.6416741706 4728173.228202952, 691199.6099246764 4728175.759443791)"
2023,17.0,,0.0,,1,2.6441603125664432,"LINESTRING (691207.88588509 4728169.991070431, 691208.2037465825 4728172.616055732)"
2023,16.0,,1.0,,1,3.2665829731826705,"LINESTRING (691192.8544947116 4728190.66653515, 691192.5918687822 4728193.922543741)"
2023,16.0,,0.0,,1,1.7668615506689793,"LINESTRING (691202.1236777095 4728191.509597641, 691203.2027133122 4728192.908698034)"
2023,15.0,,1.0,,1,4.048363628624032,"LINESTRING (691188.2335925325 4728214.149032802, 691192.2595360804 4728214.574505032)"
