Year,BDANumber,ReferenceNumber,Downstream,Comments,BDAPresent,LineLength,geometry,SiteID,predicted,residuals,std_residuals
2017,30.0,,0.0,,0,8.081462928945585,"LINESTRING (691325.162134456 4727988.329752665, 691328.9829494072 4727981.208557809)",30,4.061458779757944,4.020004149187642,6.919866153307191
2017,28.0,,0.0,,0,3.65791116595557,"LINESTRING (691309.9538217986 4728028.84689144, 691313.5426425142 4728029.554478869)",28,3.0811062027843428,0.5768049631712273,0.9928878164254524
2017,27.0,,0.0,,0,3.1595567568901437,"LINESTRING (691304.9250277674 4728067.629755293, 691306.0510709526 4728070.581843646)",27,3.455592873783819,-0.29603611689367515,-0.509584127136535
2017,26.0,,0.0,,0,2.813444398263762,"LINESTRING (691279.9521903964 4728067.23900126, 691277.7473176923 4728068.986572644)",26,3.284561380514261,-0.47111698225049903,-0.8109609688791598
2017,25.0,,0.0,,0,3.656667960025828,"LINESTRING (691265.0853566405 4728059.940697544, 691268.3886126123 4728061.509047172)",25,3.833782887254083,-0.17711492722825506,-0.3048781903421514
2017,24.0,,0.0,,0,6.057928812850354,"LINESTRING (691258.0419858142 4728075.352559141, 691259.6195266626 4728081.201479244)",24,5.290629639900202,0.7672991729501515,1.3207965413247926
2017,23.0,,0.0,,0,2.877751050331946,"LINESTRING (691249.7730398139 4728069.584144851, 691247.8795903081 4728071.751239698)",23,3.9748425491079393,-1.0970914987759932,-1.888487187505809
2017,22.0,,0.0,,0,3.265973018631769,"LINESTRING (691224.0909234644 4728093.288957407, 691227.2562374658 4728094.093548627)",22,3.7175732780802204,-0.4516002594484516,-0.7773657026731142
2017,21.0,,0.0,,0,1.9595695585822284,"LINESTRING (691213.3175370774 4728110.352386776, 691215.0069248623 4728111.345302567)",21,3.0251034855085566,-1.0655339269263282,-1.834165309910935
2017,20.0,,0.0,,0,4.809005423813348,"LINESTRING (691211.5249025862 4728123.82767443, 691214.9111227863 4728120.41299349)",20,3.7768245510686844,1.0321808727446635,1.7767527645065324
2017,19.0,,0.0,,0,3.249788778281481,"LINESTRING (691216.585234056 4728133.335199947, 691217.8769298414 4728136.317254457)",19,3.396290161955382,-0.14650138367390086,-0.25218132337066335
2017,18.0,,0.0,,0,3.3902782083719583,"LINESTRING (691211.2726238118 4728158.760114877, 691212.2618400521 4728155.517363335)",18,3.143193873649928,0.24708433472203017,0.4253205870946461
2017,17.0,,0.0,,0,2.435555029297908,"LINESTRING (691208.0269748922 4728171.15622779, 691208.319759393 4728173.574120578)",17,3.039572731554717,-0.604017702256809,-1.0397306815441736
2017,16.0,,0.0,,0,3.803094255268295,"LINESTRING (691201.3912860143 4728190.5599630745, 691203.7138642044 4728193.571467095)",16,2.9437219565753203,0.8593722986929748,1.4792873494961503
2017,15.0,,0.0,,0,3.9836146361496794,"LINESTRING (691186.478525181 4728205.086031996, 691190.3073462986 4728203.986343668)",15,3.516337048742412,0.46727758740726744,0.8043519959928435
2017,14.0,,0.0,,0,3.9625984367261946,"LINESTRING (691200.5340826878 4728218.39432786, 691197.3503301337 4728216.035110608)",14,3.070923939898946,0.8916744968272488,1.5348909954754597
2017,13.0,,0.0,,0,2.2914289391647755,"LINESTRING (691206.0319273161 4728212.960913463, 691206.9201637799 4728210.8486439325)",13,3.0827284195792384,-0.7912994804144629,-1.3621096616917991
2017,12.0,,0.0,,0,3.468583780772725,"LINESTRING (691233.8290875321 4728208.733199229, 691235.3590724157 4728205.6202874575)",12,2.892627187142719,0.5759565936300057,0.9914274687601441
2017,29.0,,0.0,,0,5.924426216434791,"LINESTRING (691325.4258068918 4728001.7881545955, 691329.0060297513 4728006.508412032)",29,3.889732146592868,2.0346940698419234,3.5024368392951075
2017,9.0,,0.0,,0,4.415980130076899,"LINESTRING (691241.2074476719 4728330.8829546245, 691245.1408223178 4728328.87560702)",9,4.093526539801611,0.32245359027528764,0.5550580553030656
2017,10.0,,0.0,,0,2.2284912516722923,"LINESTRING (691250.4866297327 4728313.972864218, 691252.5670785664 4728314.771554339)",10,3.2692490610267786,-1.0407578093544863,-1.7915167426375915
2017,,105.0,,,0,2.317453959633778,"LINESTRING (691226.1294788902 4728290.2056813855, 691228.4468169858 4728290.228854766)",105,2.811692548250398,-0.4942385886166196,-0.8507615301137402
2017,,106.0,,,0,3.1181125296716936,"LINESTRING (691225.0807130871 4728253.709606705, 691227.4728959433 4728255.709628438)",106,3.443637190937687,-0.3255246612659932,-0.5603444678077099
2017,,107.0,,,0,2.6702896651591046,"LINESTRING (691221.0863158567 4728247.397377009, 691222.4822114666 4728245.120993398)",107,2.674605019496263,-0.00431535433715835,-0.0074282695512301565
2017,,108.0,,,0,2.7245012893461507,"LINESTRING (691246.2997204148 4728234.271070079, 691248.5918980582 4728235.743764523)",108,2.523238418986728,0.20126287035942259,0.3464454445399165
2017,,109.0,,,0,2.963211768436615,"LINESTRING (691228.0885363028 4728076.917463095, 691227.1247007264 4728074.115384408)",109,2.7996234692443984,0.16358829919221662,0.2815940214604169
2017,,110.0,,,0,4.283531237247668,"LINESTRING (691313.4298871795 4728051.369166819, 691317.2936005414 4728053.218588058)",110,4.226819877321871,0.05671135992579668,0.09762055099814886
2017,,111.0,,,0,4.241876547716695,"LINESTRING (691313.0663779103 4728018.604566405, 691316.7310891183 4728020.740779973)",111,3.4783169797832576,0.763559567933437,1.3143593424509732
2022,30.0,,0.0,,1,3.1161501938286893,"LINESTRING (691326.271078295 4727986.262914762, 691327.7443552694 4727983.5170365805)",30,3.5815728201279238,-0.4654226262992345,-0.8011589439185632
